humidity,pressure,wind_speed,cloud_cover,temperature
71,997,0,13,27.029300413411157
34,984,1,37,25.50440840078579
91,1033,23,78,29.001686540685355
80,1015,0,46,30.33627520640364
40,1009,18,32,31.203704318252974
94,1024,1,42,31.441305897302854
94,998,20,90,13.89231683813961
43,1002,19,28,28.360028889546502
22,1013,28,56,31.703844973262875
41,992,22,4,25.957137090691383
72,1022,20,92,26.726068967634212
21,1033,23,95,38.048785558158926
49,1008,3,59,30.48428692177476
57,1015,11,69,29.72093166530799
21,1001,21,1,32.934279934113285
83,1031,19,69,30.63671892666537
79,1031,17,42,33.687363123815224
40,1026,0,3,44.0564069231011
52,1015,29,55,27.90899543214554
95,988,29,92,7.821253248323899
77,1018,0,58,30.84053719442978
41,1030,23,88,34.11980121337472
68,998,13,8,26.12171799342428
78,1017,3,2,34.51927986810088
61,985,4,89,16.738583784546677
79,1031,10,47,34.96293458611871
99,1026,23,42,27.715478414816733
34,994,27,90,19.87921609770423
81,1036,22,99,29.78840541059872
81,999,12,95,17.285697177502954
66,988,15,0,22.344768034556648
81,1011,23,56,23.000753267560697
70,983,12,52,16.359444265934364
74,1029,23,15,34.976161317690995
83,997,21,50,18.141439100486384
22,984,25,74,19.60775616238443
70,999,1,89,21.697690210339452
26,1002,15,54,29.437129643343173
40,990,5,0,29.22005503602905
92,1016,13,89,23.1959733911211
58,1001,0,27,29.93263159739844
37,1037,16,52,41.95653101429542
23,983,10,57,23.362422079037923
79,1008,18,72,22.052123445693226
33,1023,2,59,39.41067573133972
28,1013,10,58,34.44665682668785
72,992,28,21,18.88101675773241
21,1021,4,7,43.662916308959424
79,988,16,48,16.263767444926465
90,1021,25,41,26.782727229728444
63,1010,21,26,28.414794548813873
27,986,6,38,26.289780641973824
66,983,9,82,14.964130929438179
54,998,27,24,23.649595599372944
97,1021,28,37,25.27821069329621
55,1009,10,84,26.639406872801704
69,1010,2,23,31.458348161706514
23,1014,19,23,36.31642691462298
21,1036,9,59,44.67682668286255
25,1000,26,82,24.472266478101172
73,1010,9,49,26.88155566825119
23,998,13,65,28.116500956274752
73,1010,11,13,29.84280319132812
82,1032,14,52,33.59306377408965
37,1011,9,31,34.466900737794354
63,981,29,95,9.667250075106047
53,1038,9,91,38.00361483521331
93,1031,25,47,29.555037151153776
81,989,18,38,16.935666009148363
33,981,0,39,24.401432347228805
67,981,23,41,14.21447994696634
34,1039,28,76,39.13547417401761
91,1003,25,75,16.39830046928537
97,996,9,7,21.463481289075734
81,1011,1,78,26.159357477320388
59,995,16,25,23.53804368615798
99,995,29,11,16.12874783600607
72,1025,23,42,31.328386737417706
43,1018,6,50,35.05429265682923
45,1032,6,90,37.241301299502965
79,1010,19,81,22.105031565258827
60,1022,26,99,26.598225326319177
48,1003,8,62,27.87921791185936
34,980,21,48,18.653046044389285
64,990,1,26,24.056303640225906
84,1034,13,8,37.86812614523571
90,1000,16,38,20.35430569683505
28,983,0,64,23.829020076902225
20,986,8,70,24.07030799781151
27,1005,19,89,27.07627246486826
82,1026,20,70,28.77537717723517
30,1029,18,6,43.17256173791466
27,991,3,71,25.943506316737974
54,1010,27,79,23.98164547078413
54,996,7,66,23.481442202458005
52,1012,12,9,33.62525142292684
24,990,3,70,26.229481896465444
60,1007,8,84,25.642757235746853
47,1011,8,52,31.575732000299915
26,980,21,94,16.723953358585906
92,1026,17,86,26.675082915030938
91,1007,11,56,22.531547053765685
31,1032,9,90,39.29038754809534
53,1021,10,85,31.46990840440611
52,986,6,26,23.24783870123217
67,981,8,53,16.764454075553306
42,1021,5,3,40.744145476542315
81,1003,18,87,18.78747596140329
56,983,15,22,20.262512820414965
63,1023,29,47,30.340324792209273
54,998,14,82,21.505461022068072
84,1005,6,41,24.857602703185933
66,990,15,2,23.068841767768827
97,1019,4,90,24.852850385099597
22,1029,15,2,45.101984550556686
20,1022,0,27,43.79042618982553
24,990,18,62,23.726365554415537
33,1024,4,80,37.280709101746275
46,982,6,30,21.93984510824237
28,991,18,9,27.802673160457132
98,982,21,48,10.21463630256203
34,1021,4,85,35.525419264934705
61,1006,28,93,20.21357442129354
96,1028,16,20,31.955158145641185
70,1033,25,99,29.646675288806392
82,981,21,52,11.90754111987518
71,1028,29,86,28.19845445623318
23,995,7,75,27.350867588728338
42,981,28,88,13.320812719509858
34,1039,28,53,41.05847313276919
62,1033,0,56,39.620280582046014
48,1009,1,19,34.58852858620713
55,999,29,48,21.554934723577617
32,1017,14,6,38.94420785276899
51,1007,19,28,29.144753840391452
90,1004,27,47,18.76984703026245
78,1011,17,92,21.91037820410563
47,989,10,12,25.50856063642373
85,1039,24,2,37.72518817626239
61,1021,9,1,37.572917250652296
64,1019,23,15,32.35634483766286
81,1012,23,93,20.777708295511854
76,992,3,5,24.564934078663903
25,1035,4,44,45.74679325105848
47,1020,3,70,34.6292625456406
47,1033,12,4,43.72173150458754
63,1021,24,55,29.771602424487803
49,1026,12,70,34.75590586125914
81,1016,17,97,23.13338886551915
94,1033,28,31,31.15095825233363
81,995,26,48,16.914808287474045
20,1024,23,12,40.852426079367675
46,1001,1,29,31.35734431185151
81,1036,15,24,37.02988108257825
96,999,0,84,18.502179286032685
22,1029,25,59,38.927310570553225
89,1022,18,58,27.32833141678709
91,1006,8,84,20.59724391381027
46,1020,27,27,33.32936717016597
28,995,2,57,28.90940929151937
81,1013,24,19,26.722679467461013
56,1011,6,33,31.933991166167125
70,1005,28,4,25.75301429789499
63,1004,9,81,23.706102652269863
43,981,0,59,21.089815073566292
98,991,9,42,16.62651586441697
78,1019,20,56,27.391350910870994
51,988,8,56,21.503857604731202
71,991,27,74,14.38910006824603
81,1005,14,53,23.092612168700807
77,988,14,80,14.264993870552276
71,989,2,44,20.937038243958803
31,1011,24,85,28.24623431151585
58,1036,4,36,41.8224164332718
21,1013,8,83,33.60355532352083
22,1027,25,47,38.76754877880063
75,999,21,53,20.083470675783776
78,1018,8,47,30.33957556315885
21,1039,22,5,47.66834797519746
21,981,6,33,25.275573468300536
73,980,23,62,11.54513263952685
20,1030,22,77,38.553227661742476
38,1039,11,47,43.992372131858055
21,1015,24,22,36.536833971758284
72,1003,26,83,18.35716774694901
63,1033,8,12,41.05060479647128
51,1006,5,46,30.289069838879744
89,981,22,43,10.915396033896945
51,1010,1,31,33.5621228545837
87,1036,8,25,37.60369194105473
74,993,27,52,16.227159019730607
94,981,28,13,11.622570239071814
75,1008,16,51,24.81925877197769
36,994,0,35,29.431265583104224
57,991,18,7,23.849920757060417
43,1016,27,39,31.668391193528596
88,1007,5,85,21.722873647810896
89,999,4,21,24.299369204597745
30,1018,1,15,41.23091691518723
35,1003,8,90,27.107493794831264
92,1000,29,59,15.538475892626249
78,989,28,59,13.689077896184934
89,1025,25,9,30.871899316204605
99,993,13,24,17.814221555617
22,1016,3,30,40.058957398754806
39,997,3,20,30.70441909055462
78,1003,20,90,18.331657205879715
55,993,14,80,19.65995528939267
38,1013,7,32,35.45934088361658
86,1037,25,30,34.71457029812421
38,991,3,89,22.92129550722371
39,1001,15,20,30.02671048074142
90,1035,20,35,33.52210165190231
71,985,27,64,12.741061994569426
52,1015,3,3,37.11348788750186
59,1024,29,67,29.960886686672364
58,1015,15,89,27.455091935533606
20,1001,21,3,33.07909179865573
30,993,11,8,30.29022054405797
76,995,15,29,21.434057210276627
69,1015,18,44,28.49560485127023
42,1035,7,3,46.13450393341834
50,1004,5,68,27.93215727109583
61,1011,9,22,31.51393676499841
26,1012,4,15,38.66543644254669
35,1024,28,21,37.151215833325985
79,1015,17,71,24.952630053290253
21,999,9,47,30.43801972650831
20,997,9,61,28.871413330617884
67,1017,6,96,27.807715130129292
31,982,17,59,20.03963775094958
88,1002,0,79,21.29559381987666
56,1011,6,4,34.88103926804708
51,1024,20,79,31.588474948659783
28,1038,0,6,50.57562509790722
38,995,14,50,25.174821594525095
67,1038,3,64,39.42377289233695
99,984,27,8,12.776839788634351
22,983,28,81,17.544948103803762
39,1000,19,44,26.64320160807261
43,1019,9,46,35.76783372676738
73,1030,22,66,31.260734747137615
52,993,8,23,25.939491645698006
43,1018,1,91,33.378155503791795
94,1010,27,9,24.187374434359164
91,993,13,72,15.145642959784322
55,985,15,76,17.02383961577549
57,991,0,47,23.69824526774088
44,995,1,34,28.5096725717364
37,996,6,53,27.343182158580955
85,1024,28,86,24.263508203186323
73,1002,9,80,21.781613515111374
54,993,21,70,19.257075866922953
99,986,19,15,14.145009333021354
80,1025,0,52,33.52232615034989
60,1011,12,39,30.02440539167129
52,994,0,99,21.55255441861519
87,1023,4,19,33.979764236236164
52,996,15,87,20.664954697582232
33,1020,14,68,34.775943093634844
40,1033,16,44,40.463705165360345
67,1026,27,5,34.65295160403602
39,1023,22,91,31.434502805278715
27,1013,15,68,32.718458218799555
26,984,12,48,23.23209944118375
86,1024,10,38,31.69272895520058
36,1006,16,1,33.84929535723967
52,1031,16,38,38.393189172562465
67,1002,1,20,29.07172043278612
95,1019,12,39,27.689997032981342
78,1038,13,81,34.40756398913588
41,993,10,53,24.762404837375023
49,994,27,11,23.9093121225726
57,1022,9,80,31.889871767109625
70,1012,2,36,30.933635490115012
73,1032,28,37,33.0674590809987
27,1010,26,14,33.29116906763509
46,1014,16,6,34.87985666789185
46,996,14,77,22.665191929756233
40,1007,8,49,31.32681319821113
49,998,9,64,24.678679359150546
47,1025,7,66,36.18879772932392
83,1033,20,43,33.448492868272865
88,1002,12,30,22.710301726042584
